name,datasets,bidirectional_lstm,lstm_dropout,mlp_dropout,lr,step_size,gamma,weight_decay,hidden_dim,num_layers,batch_size,frame_frequency,num_epoch,num_workers,train_loss,test_loss,train_acc,test_acc,top5_test_acc,best_epoch,Time
DINO_features,"['deephand_left', 'dino_left_small']",True,0.4,0.4,0.0002,5,0.5,0,512,3,64,1,20,4,0.24,0.02,96.06,83.89,93.94,17,
DINO_features,"['deephand_left', 'dino_left_small']",False,0.4,0.4,0.0002,5,0.5,0,512,3,64,2,20,4,0.18,0.01,97.47,86.16,95.49,19,
DINO_features,"['deephand_left', 'dino_left_small']",True,0.4,0.4,0.0002,5,0.5,0,512,3,64,2,20,4,0.17,0.01,97.22,88.17,95.91,17,
DINO_features,"['deephand_left', 'dino_left_small']",False,0.4,0.4,0.0002,5,0.5,0,512,3,64,4,20,4,0.21,0.01,97.13,86.67,95.45,19,
DINO_features,"['deephand_left', 'dino_left_small']",True,0.4,0.4,0.0002,5,0.5,0,512,3,64,4,20,4,0.26,0.01,96.18,84.95,94.94,16,
DINO_features,"['deephand_left', 'dino_left_small', 'dino_face_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,1,20,4,0.31,0.02,95.41,80.64,93.24,14,
DINO_features,"['deephand_left', 'dino_left_small', 'dino_face_small']",True,0.2,0.2,0.0002,5,0.5,0,512,3,64,1,20,4,0.26,0.02,96.54,81.72,94.1,15,
DINO_features,"['deephand_left', 'dino_left_small', 'dino_face_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,20,4,0.14,0.01,98.47,86.56,96.11,16,
DINO_features,"['deephand_left', 'dino_left_small', 'dino_face_small']",True,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,20,4,0.12,0.01,98.61,85.94,95.6,18,
DINO_features,"['deephand_left', 'dino_left_small', 'dino_face_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,4,20,4,0.15,0.01,98.45,86.01,95.53,16,
DINO_features,"['deephand_left', 'dino_left_small', 'dino_face_small']",True,0.2,0.2,0.0002,5,0.5,0,512,3,64,4,20,4,0.15,0.01,98.47,84.17,94.85,17,
DINO_features,"['deephand_left', 'dino_left_small', 'dino_face_small']",False,0.3,0.3,0.0002,5,0.5,0,512,3,64,1,20,4,0.3,0.02,95.55,79.84,92.77,18,
DINO_features,"['deephand_left', 'dino_left_small', 'dino_face_small']",True,0.3,0.3,0.0002,5,0.5,0,512,3,64,1,20,4,0.32,0.02,95.33,76.97,92.24,17,
DINO_features,"['deephand_left', 'dino_left_small', 'dino_face_small']",False,0.3,0.3,0.0002,5,0.5,0,512,3,64,2,20,4,0.17,0.01,97.74,83.27,94.65,19,
DINO_features,"['deephand_left', 'dino_left_small', 'dino_face_small']",True,0.3,0.3,0.0002,5,0.5,0,512,3,64,2,20,4,0.29,0.02,95.35,83.82,94.08,12,
DINO_features,"['deephand_left', 'dino_left_small', 'dino_face_small']",False,0.3,0.3,0.0002,5,0.5,0,512,3,64,4,20,4,0.27,0.02,96.26,83.66,95.45,13,
DINO_features,"['deephand_left', 'dino_left_small', 'dino_face_small']",True,0.3,0.3,0.0002,5,0.5,0,512,3,64,4,20,4,0.32,0.02,95.19,83.13,94.78,12,
DINO_features,"['deephand_left', 'dino_left_small', 'dino_face_small']",False,0.4,0.4,0.0002,5,0.5,0,512,3,64,1,20,4,0.44,0.02,92.6,75.04,91.25,19,
DINO_features,"['deephand_left', 'dino_left_small', 'dino_face_small']",True,0.4,0.4,0.0002,5,0.5,0,512,3,64,1,20,4,0.43,0.02,92.58,77.76,92.18,17,
DINO_features,"['deephand_left', 'dino_left_small', 'dino_face_small']",False,0.4,0.4,0.0002,5,0.5,0,512,3,64,2,20,4,0.25,0.02,96.13,83.55,94.78,19,
DINO_features,"['deephand_left', 'dino_left_small', 'dino_face_small']",True,0.4,0.4,0.0002,5,0.5,0,512,3,64,2,20,4,0.26,0.02,95.7,80.88,93.9,19,
DINO_features,"['deephand_left', 'dino_left_small', 'dino_face_small']",False,0.4,0.4,0.0002,5,0.5,0,512,3,64,4,20,4,0.31,0.02,95.26,81.54,93.88,16,
DINO_features,"['deephand_left', 'dino_left_small', 'dino_face_small']",True,0.4,0.4,0.0002,5,0.5,0,512,3,64,4,20,4,0.3,0.02,95.67,81.56,94.61,18,
DINO_features,['deephand_left'],False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,30,4,0.08,0.02,99.2,83.13,92.71,28,2024-11-22_22-20-45
DINO_features,['dino_left_large'],False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,30,4,0.12,0.02,98.73,82.25,94.01,26,2024-11-22_22-25-43
DINO_features,['dino_left_small'],False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,30,4,0.17,0.02,98.43,79.91,92.73,25,2024-11-22_22-29-32
DINO_features,"['deephand_left', 'dino_left_large']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,30,4,0.16,0.01,97.36,90.36,96.88,11,2024-11-22_22-35-59
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,30,4,0.11,0.01,98.95,87.53,96.2,21,2024-11-22_22-43-33
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,30,4,0.15,0.01,98.36,87.95,95.78,27,2024-11-22_22-53-02
DINO_features,"['deephand_left', 'dino_left_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,30,4,0.1,0.01,98.9,90.34,96.71,17,2024-11-22_23-00-20
DINO_features,"['deephand_left', 'dino_left_small', 'dino_face_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,30,4,0.1,0.01,98.93,86.52,95.38,22,2024-11-22_23-07-56
DINO_features,"['deephand_left', 'dino_left_small', 'dino_face_small', 'dino_right_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,30,4,0.16,0.01,98.29,87.09,95.76,25,2024-11-22_23-16-38
DINO_features,"['deephand_left', 'dino_face_small', 'dino_right_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,30,4,0.19,0.02,98.2,82.58,93.66,27,2024-11-22_23-24-31
DINO_features,"['dino_left_large', 'dino_face_small', 'dino_right_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,30,4,0.42,0.02,94.01,75.64,90.78,29,2024-11-22_23-32-25
DINO_features,"['dino_left_small', 'dino_face_small', 'dino_right_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,30,4,0.62,0.02,89.73,70.36,88,23,2024-11-22_23-39-32
DINO_features,"['deephand_left', 'dino_face_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,30,4,0.1,0.02,99.34,79.4,91.78,27,2024-11-22_23-46-43
DINO_features,"['deephand_left', 'dino_right_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,30,4,0.1,0.01,99.15,84.68,94.61,28,2024-11-22_23-54-03
DINO_features,"['dino_left_large', 'dino_face_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,30,4,0.26,0.02,96.9,77.76,90.98,25,2024-11-23_00-01-16
DINO_features,"['dino_left_small', 'dino_face_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,30,4,0.35,0.02,95.82,71.55,88.44,29,2024-11-23_00-07-26
DINO_features,"['dino_left_large', 'dino_right_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,30,4,0.23,0.02,97.38,81.61,93.63,29,2024-11-23_00-14-23
DINO_features,"['dino_left_small', 'dino_right_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,30,4,0.29,0.02,96.32,79.38,93.3,27,2024-11-23_00-20-30
DINO_features,['dino_face_small'],False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,30,4,1.98,0.06,58.19,31.37,43.88,21,2024-11-23_22-29-01
DINO_features,['dino_right_small'],False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,30,4,1.6,0.04,67.02,52.7,61.83,29,2024-11-23_22-32-39
DINO_features,['dino_face_small'],False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,30,4,1.84,0.06,61.29,32.65,46.07,24,2024-11-26_08-58-45
DINO_features,['dino_right_large'],False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,30,4,1.74,0.04,64.81,56.1,64.12,20,2024-11-26_09-04-26
DINO_features,"['deephand_left', 'dino_left_large']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,1,20,4,0.17,0.01,97.36,86.96,95.31,15,
DINO_features,"['deephand_left', 'dino_left_large']",True,0.1,0.1,0.0002,5,0.5,0,512,3,32,2,20,4,0.07,0.02,98.66,87.02,97.26,13,2024-12-01_01-01-46
DINO_features,"['deephand_left', 'dino_left_large']",False,0.1,0.1,0.0002,5,0.5,0,512,3,32,2,20,4,0.04,0.02,99.29,86.63,96.99,19,2024-12-01_01-08-10
DINO_features,"['deephand_left', 'dino_left_large']",True,0.2,0.2,0.0002,5,0.5,0,512,3,32,2,20,4,0.05,0.02,99.15,86.56,96.62,18,2024-12-01_01-17-46
DINO_features,"['deephand_left', 'dino_left_large']",False,0.2,0.2,0.0002,5,0.5,0,512,3,32,2,20,4,0.06,0.02,98.83,86.43,97.17,17,2024-12-01_01-23-47
DINO_features,"['deephand_left', 'dino_left_large', 'dino_right_small']",True,0.1,0.1,0.0002,5,0.5,0,512,3,32,2,20,4,0.07,0.02,98.99,86.38,96.95,18,2024-12-01_01-33-55
DINO_features,"['deephand_left', 'dino_left_large', 'dino_right_small']",False,0.1,0.1,0.0002,5,0.5,0,512,3,32,2,20,4,0.06,0.02,98.95,87.82,97.26,18,2024-12-01_01-40-57
DINO_features,"['deephand_left', 'dino_left_large', 'dino_right_small']",True,0.2,0.2,0.0002,5,0.5,0,512,3,32,2,20,4,0.09,0.02,98.65,85.26,96.84,18,2024-12-01_01-51-08
DINO_features,"['deephand_left', 'dino_left_large', 'dino_right_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,32,2,20,4,0.13,0.02,97.93,83.97,96.09,17,2024-12-01_01-57-59
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small']",True,0.1,0.1,0.0002,5,0.5,0,512,3,32,2,20,4,0.09,0.02,98.37,86.12,96.53,14,2024-12-01_02-08-15
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small']",False,0.1,0.1,0.0002,5,0.5,0,512,3,32,2,20,4,0.07,0.02,98.93,84.22,95.71,17,2024-12-01_02-15-03
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small']",True,0.2,0.2,0.0002,5,0.5,0,512,3,32,2,20,4,0.10,0.02,98.36,83.16,95.45,15,2024-12-01_02-25-21
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,32,2,20,4,0.09,0.03,98.63,81.96,95.11,19,2024-12-01_02-32-20
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.1,0.1,0.0002,5,0.5,0,512,3,32,2,20,4,0.10,0.02,98.73,83.69,95.71,19,2024-12-01_02-43-28
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",False,0.1,0.1,0.0002,5,0.5,0,512,3,32,2,20,4,0.10,0.02,98.45,84.44,96.07,18,2024-12-01_02-51-38
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.2,0.2,0.0002,5,0.5,0,512,3,32,2,20,4,0.22,0.03,96.69,81.96,95.20,19,2024-12-01_03-03-22
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,32,2,20,4,0.39,0.03,92.68,78.58,94.54,11,2024-12-01_03-11-31
