name,datasets,bidirectional_lstm,lstm_dropout,mlp_dropout,lr,step_size,gamma,weight_decay,hidden_dim,num_layers,batch_size,frame_frequency,num_epoch,num_workers,concatenate,train_loss,test_loss,train_acc,test_acc,top5_test_acc,best_epoch,Time
DINO_features,['dino_left_small'],False,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,4,True,0.08,0.01,99.62,78.18,95.87,18,2024-12-05_09-40-56
DINO_features,['deephand_left'],False,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,0,True,0.04,0.01,99.78,78.91,95.84,17,2024-12-04_23-44-13
DINO_features,"['deephand_left', 'dino_left_large', 'heatmap']",True,0.1,0.1,0.0001,5,0.5,0.01,216,3,16,2,20,2,True,0.46,0.07,96.02,78.21,95.8,19,2024-12-03_17-33-04
DINO_features,['dino_face_small'],True,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,0,True,0.04,0.01,99.82,79.47,95.78,18,2024-12-05_01-33-47
DINO_features,['dino_left_large'],True,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,0,True,0.04,0.01,99.77,79.11,95.76,16,2024-12-04_23-56-25
DINO_features,['dino_left_small'],True,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,4,True,0.1,0.01,99.43,77.43,95.73,14,2024-12-05_09-36-39
DINO_features,['dino_left_small'],True,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,0,True,0.04,0.01,99.82,79.44,95.65,17,2024-12-05_00-20-44
DINO_features,['deephand_left'],True,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,4,True,0.04,0.01,99.84,78.89,95.65,19,2024-12-05_09-08-51
DINO_features,['dino_left_small'],False,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,0,True,0.04,0.01,99.81,79.02,95.62,19,2024-12-05_00-32-58
DINO_features,['dino_right_large'],False,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,0,True,0.04,0.01,99.79,78.89,95.6,16,2024-12-05_00-57-18
DINO_features,['dino_left_large'],False,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,0,True,0.04,0.01,99.84,79.4,95.58,18,2024-12-05_00-08-32
DINO_features,['dino_right_small'],False,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,0,True,0.04,0.01,99.77,79.24,95.58,19,2024-12-05_01-21-39
DINO_features,['deephand_left'],True,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,0,True,0.04,0.01,99.82,79.16,95.58,17,2024-12-04_23-32-00
DINO_features,['dino_face_small'],False,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,0,True,0.04,0.01,99.79,79.29,95.51,18,2024-12-05_01-45-58
DINO_features,"['deephand_left', 'dino_left_large', 'heatmap']",True,0.1,0.1,0.0001,5,0.5,0.01,216,4,16,2,20,2,True,0.41,0.07,95.67,77.01,95.38,19,2024-12-03_16-03-33
DINO_features,['deephand_left'],False,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,4,True,0.05,0.01,99.79,78.34,95.27,19,2024-12-05_09-13-35
DINO_features,"['deephand_left', 'dino_left_large']",True,0.1,0.1,0.0001,5,0.5,0.01,216,3,32,2,20,4,True,0.59,0.04,95.36,75.44,95.25,19,2024-12-02_19-47-27
DINO_features,['dino_right_small'],True,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,0,True,0.04,0.01,99.78,78.93,95.18,16,2024-12-05_01-09-29
DINO_features,"['deephand_left', 'dino_left_large']",True,0.1,0.1,0.0001,5,0.5,0.01,216,2,32,2,20,4,True,0.61,0.04,95.69,76.64,95.18,18,2024-12-02_19-52-02
DINO_features,['dino_right_large'],True,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,0,True,0.06,0.01,99.53,79.2,95.14,14,2024-12-05_00-45-09
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.1,0.1,0.0001,5,0.5,0.01,216,2,32,2,20,4,True,0.99,0.05,91.94,71.35,94.56,18,2024-12-02_23-15-14
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.1,0.1,0.0001,5,0.5,0.01,1024,4,32,2,20,4,True,0.09,0.03,98.67,76.79,94.47,16,2024-12-02_20-23-31
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.1,0.1,0.0001,5,0.5,0.01,512,4,32,2,20,4,True,0.41,0.04,96.17,71.82,92.37,19,2024-12-02_22-31-22
DINO_features,"['deephand_left', 'dino_left_large']",True,0.1,0.1,0.0001,5,0.5,0.01,216,4,32,2,20,4,True,0.73,0.05,93.2,69.5,92.24,19,2024-12-02_19-42-22
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.1,0.1,0.0001,5,0.5,0.01,512,4,32,2,20,4,True,0.53,0.04,94.46,70.03,91.4,19,2024-12-02_21-21-36
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.1,0.1,0.0001,5,0.5,0.01,216,3,32,2,20,4,True,1.29,0.06,87.38,66.05,91.2,18,2024-12-02_23-08-13
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.1,0.1,0.0001,5,0.5,0.01,216,4,32,2,20,4,True,2.25,0.09,64.79,41.42,73.12,18,2024-12-02_23-00-53
DINO_features,['dino_right_large'],False,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,4,True,1.52,0.04,68.19,51.92,68.28,14,2024-12-05_09-55-21
DINO_features,['dino_right_large'],True,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,4,True,1.47,0.04,69.36,51.39,67.84,18,2024-12-05_09-50-28
DINO_features,['dino_right_small'],True,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,4,True,1.4,0.04,70.22,49.16,66.03,19,2024-12-05_10-04-00
DINO_features,['dino_right_small'],False,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,4,True,1.44,0.04,69.69,48.36,65.08,17,2024-12-05_10-08-15
DINO_features,['dino_face_small'],True,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,4,True,1.52,0.06,70.93,27.43,49.71,9,2024-12-05_10-16-54
DINO_features,['dino_face_small'],False,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,4,True,1.28,0.06,76.24,25.42,48.94,13,2024-12-05_10-21-09
DINO_features_sum,"['deephand_left', 'dino_left_large']",True,0.1,0.1,0.00005,5,0.5,0.01,1024,2,16,2,20,4,True,0.02,0.03,99.73,87.27,98.34,17,2024-12-21_02-48-04
DINO_features_sum,"['deephand_left', 'dino_left_large']",False,0.1,0.1,0.00005,5,0.5,0.01,1024,2,16,2,20,4,True,0.03,0.03,99.62,87.02,98.36,15,2024-12-21_03-00-00
DINO_features_sum,"['deephand_left', 'dino_left_large']",False,0.1,0.1,0.00005,5,0.5,0.01,1024,2,8,2,30,4,True,0.01,0.06,99.9,86.91,98.34,22,2024-12-22_03-12-08
DINO_features_sum,"['deephand_left', 'dino_left_large']",False,0.1,0.1,0.00005,5,0.5,0.01,1024,2,8,2,30,4,False,0.01,0.1,99.99,79.95,95.56,26,2024-12-22_03-42-18
DINO_features_sum,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",False,0.1,0.1,0.00005,5,0.5,0.01,1024,2,8,2,30,4,True,0.01,0.05,99.99,88.44,98.39,25,2024-12-22_04-18-25
DINO_features_sum,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",False,0.1,0.1,0.00005,5,0.5,0.01,1024,2,8,2,30,4,False,0.05,0.11,99.36,76.77,94.72,11,2024-12-22_04-51-08
DINO_features_sum,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small', 'heatmap']",False,0.1,0.1,0.00005,5,0.5,0.01,1024,2,8,2,30,4,True,0,0.05,100,87.69,98.52,29,2024-12-22_07-00-58
DINO_features_sum,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small', 'heatmap']",False,0.1,0.1,0.00005,5,0.5,0.01,1024,2,8,2,30,4,False,0,0.07,100,84.04,97.57,25,2024-12-22_09-19-07
DINO_features_sum,['heatmap'],False,0.1,0.1,0.00005,5,0.5,0.01,1024,2,8,2,30,4,True,0.49,0.21,92.1,56.48,83.4,28,2024-12-22_11-13-48
DINO_features_sum,['heatmap'],False,0.1,0.1,0.00005,5,0.5,0.01,1024,2,8,2,30,4,False,0.67,0.21,87.48,55.79,83.36,19,2024-12-22_13-14-45
DINO_features_sum,['heatmap_3d'],False,0.1,0.1,0.00005,5,0.5,0.01,1024,2,8,2,30,4,False,0.1,0.14,99.95,71.35,92.32,24,2024-12-22_23-59-00
DINO_features_sum,['heatmap'],False,0.1,0.1,0.00005,5,0.5,0.01,1024,2,16,2,30,4,True,0.57,0.11,91.53,53.69,81.48,27,2024-12-23_01-53-54
DINO_features_sum,"['deephand_left', 'dino_left_large']",False,0.1,0.1,0.00005,5,0.5,0.01,1024,2,16,2,30,4,True,0.01,0.03,99.98,87.2,98.25,27,2024-12-23_06-13-22
DINO_features_sum,"['deephand_left', 'dino_left_large']",False,0.1,0.1,0.00005,5,0.5,0.01,1024,2,16,2,30,4,False,0.02,0.05,99.96,79.53,95.14,24,2024-12-23_06-31-44
DINO_features_sum,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",False,0.1,0.1,0.00005,5,0.5,0.01,1024,2,16,2,20,4,True,0.04,0.03,99.48,87.91,98.7,14,2024-12-23_21-40-10
DINO_features_sum,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",False,0.1,0.1,0.00005,5,0.5,0.01,1024,2,16,2,20,4,False,0.03,0.05,99.95,77.06,94.94,17,2024-12-23_21-54-01
DINO_features_sum,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",False,0.1,0.1,0.00005,5,0.5,0.01,1024,2,64,2,20,4,True,0.12,0.01,99.66,86.34,98.39,19,2024-12-23_22-15-18
DINO_features_sum,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",False,0.1,0.1,0.00005,5,0.5,0.01,1024,2,64,2,20,4,False,0.21,0.02,99.17,74.38,93.35,15,2024-12-23_22-23-27
DINO_features_sum,['deephand_left'],False,0.1,0.1,0.00005,5,0.5,0.01,1024,2,64,2,20,4,True,0.18,0.02,98.96,76.39,94.27,19,2024-12-24_01-37-28
DINO_features_sum,['heatmap_3d'],False,0.1,0.1,0.00005,5,0.5,0.01,1024,2,8,2,20,4,True,0.03,0.14,99.81,71.37,92.02,15,2024-12-24_05-06-50
